Name,Gender,LastLetter
Bhadra,Female,a
Vendan,Male,n
Yashoda,Female,a
Hridik,Male,k
Manav,Male,v
Rugu,Female,u
Padmesh,Male,h
Vikranta,Male,a
Nanak,Male,k
Indivar,Male,r
Rangana,Female,a
Bahuputri,Female,i
Kumari,Female,i
Amulya,Male,a
Bijli,Female,i
Shirin,Female,n
Kananbala,Female,a
Tunga,Female,a
Chevatkodiyon,Male,n
Thamarai,Female,i
Tapani,Female,i
Neel,Male,l
Mukti,Female,i
Isha,Female,a
Rampratap,Male,p
Nitya,Female,a
Jagamohana,Male,a
Tukaram,Male,m
Pururava,Male,a
Jasapal,Male,l
Archan,Male,n
Priyal,Female,l
Jaidhara,Male,a
Taral,Male,l
Veera,Male,a
Chandraleksha,Female,a
Savanth,Male,h
Jaisinha,Male,a
Ekatan,Male,n
Narun,Male,n
Udyam,Male,m
Mareechi,Male,i
Pramada,Female,a
Angad,Male,d
Sudhithi,Female,i
Irumporai,Male,i
Balgopal,Male,l
Menitha,Female,a
Aiman,Male,n
Gyan; Gyani,Male,i
Prathysha,Female,a
Jusal,Male,l
Nimisha,Female,a
Shyam,Male,m
Shubhang,Male,g
Sanjith,Male,h
Jyotirmoyee,Female,e
Hiranyadha,Female,a
Logambal,Female,l
Tariq,Male,q
Ziyad,Male,d
Shubhendu,Male,u
Shrenik,Male,k
Samiya,Female,a
Ramprasad,Male,d
Aravan,Male,n
Chahna,Female,a
Daniel,Male,l
Jalindra,Male,a
Mandana,Female,a
Dwij,Male,j
Govardhan,Male,n
Magadhi,Female,i
Monisha,Female,a
"Shamshu, Shamshad",Male,d
Kripa,Female,a
Sanjivani,Female,i
Gauri,Female,i
Mohnish,Male,h
Parameshwari,Female,i
Shubhra,Female,a
Gatita,Female,a
Akhilesh,Male,h
Manju,Female,u
"Atul, Atulya",Male,a
Haraksa,Male,a
Harshavardhan,Male,n
Dayasagara,Male,a
Kunran,Male,n
Yaalchelvan,Male,n
Raivath,Male,h
Sabri,Female,i
Saroj,Female,j
Haripriya,Female,a
Acaryanandana,Male,a
Noopur,Female,r
Charu,Male,u
Samudrasen,Male,n
Ramkumar,Male,r
Bageshri,Female,i
Sarit,Female,t
"Sumeet, Sumit",Male,t
Akhil,Male,l
Dilber,Female,r
Mekhala,Female,a
Tapomay,Male,y
Harekrishna,Male,a
Avani,Female,i
Atal,Male,l
Sumedha,Female,a
Shalin,Female,n
Nehal,Female,l
Sati,Female,i
Sananda,Female,a
Ikshu,Female,u
Kush,Male,h
Keyuri,Female,i
Chaitanya,Female,a
Kunshi,Female,i
Parnik,Female,k
Shrinath,Male,h
Javesh,Male,h
Kalpana,Female,a
Zayd,Male,d
Sawan,Male,n
Ikshitha,Female,a
Husnain,Male,n
Qayyam,Male,m
Aghat,Male,t
Aaratrika,Female,a
Amari,Female,i
Namrata,Female,a
Vyomaang,Male,g
Shubhankar,Male,r
Hemadri,Male,i
Rupak,Male,k
Chandramukhi,Female,i
Sadhya,Female,a
Meera,Female,a
Maaran,Male,n
Chandrani,Female,i
Jairaj,Male,j
Nagendra,Male,a
Satyaki,Male,i
"Gopi, Gopika",Female,a
Acalesvara,Male,a
Akshit,Male,t
Aadarshini,Female,i
Trinetra,Female,a
Iravati,Female,i
Agnikumara,Male,a
Shreyas,Male,s
Dhairyash,Male,h
Jacob,Male,b
Shakyasinha,Male,a
Chanasya,Female,a
Mananya,Female,a
Deepali,Female,i
Nyneishia,Female,a
Amrusha,Female,a
Pakhi,Female,i
Jahan,Male,n
Kaviraj,Male,j
Achyut,Male,t
Dishen,Male,n
Fadi,Male,i
Sakina,Female,a
Palanikumar,Male,r
Izna,Female,a
Romila,Female,a
Sachet,Male,t
Yamini,Female,i
Saleem,Male,m
Omanand,Male,d
Ramila,Female,a
Aabharana,Female,a
Kaustav,Male,v
Bhayanashini,Female,i
Varuna,Female,a
Tuhinsurra,Male,a
Harita,Female,a
Sundaravel,Male,l
Nimita,Female,a
Keemaya,Female,a
Meenakshi,Female,i
Bhagavathi,Female,i
Punthali,Female,i
Treya,Female,a
Vyomdev,Male,v
Minnoli,Female,i
Netravati,Female,i
"Asit, Ashit",Male,t
Ganitha,Female,a
Priyamvada,Female,a
Mohak,Male,k
Sivanta,Male,a
Rajeev,Male,v
Banhi,Female,i
Abhirathi,Female,i
Hari,Male,i
Sumanta,Male,a
Paandu,Male,u
Kalapini,Female,i
Mitra,Male,a
Saujanya,Female,a
Palak,Female,k
Rajalakshmi,Female,i
Devnarayan,Male,n
Urja,Female,a
Ishanika,Female,a
Paranjay,Male,y
Ilamurugu,Male,u
Denise,Male,e
Manaka,Female,a
Arivunambi,Male,i
Parnal,Female,l
Meghashyam,Male,m
Udantika,Female,a
Tamasa,Female,a
Saanjh,Female,h
"Lav, Luv",Male,v
Vrinda,Female,a
Abdul-Jabaar,Male,r
Unnat,Male,t
Bharat,Male,t
Rijuta,Female,a
Yogendra,Male,a
Giridhar,Male,r
Kajal,Female,l
Adwaita,Male,a
Induja,Female,a
Sutanuka,Female,a
Jaigath,Male,h
Ekantha,Female,a
Raviprabha,Female,a
Indradutt,Male,t
Mahati,Female,i
Manisila,Female,a
Dakshina,Male,a
Madhup,Male,p
Lajja,Female,a
Kanak,Male,k
Chellam,Female,m
Shrigauri,Female,i
Maahir,Male,r
Dayanita,Female,a
Suren,Male,n
Tamra,Male,a
Ajaat,Male,t
Mangesh,Male,h
Patala,Female,a
Rwiju,Male,u
Neela,Female,a
Shyamala,Female,a
Ira,Female,a
Ushakanta,Male,a
Rina,Female,a
Habib,Male,b
Sravanthi,Female,i
Laabh,Male,h
Pratibha,Female,a
Sohail,Male,l
Bahubali,Male,i
Abhinatha,Male,a
Manayi,Female,i
Indrajeet,Male,t
Hemani,Female,i
Kamini,Female,i
Abhidhya,Female,a
Ahilya,Female,a
Nedumaan,Male,n
Suhrid,Male,d
Jeemutbahan,Male,n
Sushama,Female,a
Bhumi,Male,i
Geeta,Female,a
Basabi,Female,i
Deviprasad,Male,d
Oojam,Male,m
Bashir,Male,r
Hassan,Male,n
Harsh; Haarsha,Male,a
Rajesh,Male,h
Ranjiv,Male,v
Shakti,Male,i
Sulakshana,Female,a
"Vighnesh, Vignesh",Male,h
Udayasooriyan,Male,n
Jeevitha,Female,a
Ariktha,Female,a
Mandarmalika,Female,a
Jhoomer,Male,r
Ihit,Male,t
Manoritha,Female,a
Vidula,Female,a
Bhaskar,Male,r
Bhanuja,Female,a
Madhuparna,Female,a
Nirmitha,Female,a
Dayada,Male,a
Eshita,Female,a
Aastha,Female,a
Heramba,Male,a
Karabi,Female,i
Pralay,Male,y
Virabhadra,Male,a
Kaushik,Male,k
Suryakanti,Female,i
Samita,Female,a
Dandapaani,Male,i
Shaurav,Male,v
Jhilmil,Female,l
Prabhati,Female,i
Anirvan,Male,n
Radha,Female,a
Ravindra Svarup,Male,p
Mrinal,Female,l
Iraja,Female,a
Vikas,Male,s
Vardhana,Male,a
Vallabhesvara,Male,a
Sudeepta,Female,a
Sandananda,Male,a
Mukta,Female,a
Chiman,Male,n
Guru,Male,u
Zarir,Male,r
Geet,Male,t
Suraj,Male,j
Rasesh,Male,h
Rustom,Male,m
Tanya,Female,a
Baldev,Male,v
Tribhuvaneshwari,Female,i
Stuti,Female,i
Tarjani,Female,i
Abdul-Ghafoor,Male,r
Shankar,Male,r
Elilarasu,Male,u
Kaliranjan,Male,n
Pratap,Male,p
Rajanigandha,Female,a
Doyel,Female,l
Dharmendu,Male,u
Guna,Female,a
Dhvanya,Male,a
Suchira,Female,a
Aruni,Male,i
Bratati,Female,i
Daiwik,Male,k
"Keshori, Ketaki",Female,i
Purala,Female,a
Deependu,Male,u
Jwalia,Male,a
Lydia,Female,a
Makur,Male,r
Gulfam,Male,m
Kadambari,Female,i
Sumitra,Female,a
Murari,Male,i
Shorashi,Female,i
Kruti,Female,i
Bandhananashini,Female,i
Katyayani,Female,i
Himaghna,Male,a
Abhyudita,Male,a
Supriti,Female,i
Savitashri,Female,i
Utsav,Male,v
Tufan,Male,n
Deeptikana,Female,a
Chanda,Female,a
Sadhan,Male,n
Datta,Male,a
Mihika,Female,a
Sugita,Female,a
Rushil,Male,l
Snehal,Female,l
Satish,Male,h
Sendhil,Male,l
Somnath,Male,h
Bhanu,Male,u
Mehrunissa,Female,a
Hindola,Female,a
Taarank,Male,k
Devya,Female,a
Subhang,Male,g
Gaganasindhu,Female,u
Amanda,Male,a
Tripurasundari,Female,i
Tridib,Male,b
Lekh,Male,h
Paramesh,Male,h
Varana,Female,a
Shankari,Female,i
Jui,Female,i
Vandana,Female,a
Aaliya,Female,a
Hastin,Male,n
Ranga,Male,a
Sagar,Male,r
Chitrasen,Male,n
Tapasi,Female,i
Siya,Female,a
Faiz,Male,z
Ori,Male,i
Hasrat,Female,t
Greeshma,Female,a
Latika,Female,a
Tarani,Female,i
Mahabala,Male,a
Daha,Male,a
Prajesh,Male,h
Thulasi,Female,i
Champakavathi,Female,i
Ipsa,Female,a
Abhilash,Male,h
Kalpa,Male,a
Chadna,Female,a
Vatsal,Male,l
Omarjeet,Male,t
Sudhamay,Male,y
Shakambari,Female,i
Shirish,Male,h
Udita,Female,a
Ihina,Female,a
Hiral,Female,l
Dakshina,Female,a
Nigam,Male,m
Mandar,Male,r
Sevita,Female,a
Hemlata,Female,a
Pari,Male,i
Isar,Male,r
Kundan,Male,n
Manibhushan,Male,n
Anadi,Male,i
Laghuvi,Female,i
Ahsan,Male,n
Saloni,Female,i
Shaila,Female,a
Cheliyan,Male,n
Khemprakash,Male,h
Makshi,Female,i
Riya,Female,a
Sabrang,Male,g
Madhushri,Female,i
Akshay,Male,y
Vishwambhar,Male,r
Suhina,Female,a
Ajanta,Female,a
Asita,Female,a
Danta,Male,a
Shabnum,Female,m
Mithi,Female,i
Kanan,Female,n
Manas,Male,s
Shukti,Female,i
Anuttam,Male,m
"Ananga, Anang",Male,g
Krandasi,Female,i
Arumugan,Male,n
Nipun,Male,n
Abjit,Male,t
Abdul-Azeez,Male,z
Shekhar,Male,r
Shaheena,Female,a
Nimai,Male,i
Ganika,Female,a
Kumud,Female,d
"Ganga, Gangotri",Female,i
Namuchi,Female,i
Sinsapa,Female,a
Eelampirai,Female,i
Ravi,Male,i
Utsavi,Female,i
Mahith,Male,h
Prateep,Male,p
Dayakar,Male,r
Sahil,Male,l
Shiv,Male,v
Prateet,Male,t
Harshini,Female,i
Ekaling,Male,g
"Shatrughna, Shatrughan",Male,n
Jatan,Male,n
Soman,Male,n
Sinha,Male,a
Phoolan,Female,n
"Rajarshi, Rajrishi",Male,i
Sanyog,Male,g
Bharani,Female,i
Ziya,Male,a
Kahini,Female,i
Jaigopal,Male,l
Lohita,Female,a
Desiha,Female,a
Bahulika,Female,a
Tamali,Female,i
Janya,Male,a
Kishmish,Female,h
Saroja,Female,a
Sutra,Female,a
Elilarasan,Male,n
Samarjit,Male,t
Madhu,Female,u
Zarna,Female,a
Iraiyavan,Male,n
Radheshyam,Male,m
Raakhi,Female,i
Neelesh,Male,h
Kanhaiya,Male,a
Mukut,Male,t
Shrilata,Female,a
Balakrishna,Male,a
Neeladri,Male,i
Shwetika,Female,a
Naval,Male,l
Ashraf,Male,f
Nikhilesh,Male,h
Dhanvi,Female,i
Noshi,Female,i
Leela,Female,a
Jowaki,Female,i
Udayan,Male,n
Yuval,Male,l
Viresh,Male,h
Kanan,Male,n
Pundarik,Male,k
Azhar,Male,r
Nedumaran,Male,n
Latikara,Female,a
Aninditha,Female,a
Lavali,Female,i
Sudhakar,Male,r
Swarnika,Female,a
Gunalakshmi,Female,i
Rajit,Male,t
Anupama,Female,a
Bindu,Female,u
Prabhakar,Male,r
Aafreen,Male,n
Avni,Female,i
"Sajni, Sajani",Female,i
Surina,Female,a
Maniram,Male,m
Kunti,Female,i
Shrikrishna,Male,a
Sachika,Female,a
Amir,Male,r
Ekaja,Female,a
Omesh,Male,h
Harendra,Male,a
Sarvadaman,Male,n
Suvarna,Female,a
Maari,Male,i
Banbihari,Male,i
Vijay,Male,y
Ranganath,Male,h
Tvesa,Female,a
Meher,Female,r
Gyandev,Male,v
Randhir,Male,r
Sanwariya,Male,a
Pranavi,Female,i
Gurveer,Male,r
Sikata,Female,a
Dandak,Male,k
Malaya,Female,a
Lajwanti,Female,i
Jaidayal,Male,l
Elilvendan,Male,n
Ajinkya,Male,a
Kavini,Female,i
Rishi,Male,i
Satyendra,Male,a
Tanmaya,Female,a
Faarooq,Male,q
Aparijita,Female,a
Foolmala,Female,a
Padmalochana,Female,a
Smarajit,Male,t
Ihitha,Female,a
Vilokan,Male,n
Abdul-Jaleel,Male,l
Taanusiya,Female,a
Vamana,Male,a
Farida,Female,a
Samskara,Female,a
Shishupal,Male,l
Haadiya,Male,a
Sahitha,Female,a
Yaalmani,Male,i
Shirshirchandra,Male,a
Ganendra,Male,a
Sanabhi,Male,i
Manika,Female,a
Sankari,Female,i
Sanjukta,Female,a
Chintya,Male,a
Kapardini,Female,i
Pivari,Female,i
Mohal,Male,l
Varun,Male,n
Jayanta,Male,a
Pratiti,Female,i
Satyasheel,Male,l
"Falguni, Phalguni",Male,i
Bakula,Female,a
Gaura,Female,a
Imaran,Male,n
Dinapati,Male,i
Laavanya,Male,a
Kandan,Male,n
Utsa,Female,a
Eka,Male,a
Upala,Female,a
Tapati,Female,i
Sayam,Male,m
Mahasweta,Female,a
Bilva,Male,a
Mandira,Female,a
Badrinath,Male,h
Acira,Female,a
Shreshta,Male,a
Tarpan,Male,n
Vaijnath,Male,h
Barsha,Female,a
Pravin,Male,n
Ayush,Male,h
Benazir,Female,r
Salila,Female,a
Devabrata,Male,a
Vidyut,Male,t
Somalakshmi,Female,i
Prasheila,Female,a
Vihanga,Male,a
Dwaraka-daas,Male,s
Zev,Male,v
Tripti,Female,i
Heer,Male,r
Shyamal,Female,l
Uttam,Male,m
Talat,Male,t
Rajas,Male,s
Maitreyi,Female,i
Ekagrah,Male,h
Ibraheem,Male,m
Ekana,Male,a
Devansh,Male,h
Aanadi,Female,i
Pragun,Male,n
Tarit,Male,t
Upama,Female,a
Nikunja,Male,a
Aachman,Male,n
Gunwanti,Female,i
Sandhaya,Female,a
Wajidali,Male,i
Tamarai,Female,i
Nachiketa,Male,a
Chandranath,Male,h
DuraiMurugan,Male,n
Sahana,Female,a
Pandhari,Male,i
Anusri,Female,i
Sarfaraz,Male,z
Swapnasundari,Female,i
Ameya,Male,a
Ishita,Female,a
Amrapali,Female,i
Aleem,Male,m
Kaartikeya,Male,a
Surekha,Female,a
Subodh,Male,h
Iyyappan,Male,n
Siraj,Male,j
Bina,Female,a
Vaikunth,Male,h
Vijul,Female,l
Rashi,Female,i
Vennela,Female,a
Nilavoli,Female,i
Thirumalai,Male,i
Baha Udeen,Male,n
Chakradhar,Male,r
Akalmash,Male,h
Seemanta,Male,a
Anjana,Female,a
Sarojini,Female,i
Divya,Female,a
Kamalesh,Male,h
Vimal,Male,l
Palanimurugan,Male,n
Deeptimoy,Male,y
Haimavati,Female,i
Mahaj,Male,j
Kulavardhini,Female,i
Samidha,Female,a
Ratnamala,Female,a
Kuber,Male,r
Baanke Bihaari,Male,i
Qasim,Male,m
Praval,Male,l
Ainesh,Male,h
Anju,Female,u
Bhagaditya,Male,a
Piyali,Female,i
Teerthankar,Male,r
Devdutta,Male,a
Rebanta,Male,a
Neeharika,Female,a
Bhoomika,Female,a
Ghanashyam,Male,m
Garati,Female,i
Hiranya,Female,a
Sinchana,Female,a
Umed,Male,d
Namdev,Male,v
Nuti,Female,i
Raksha,Female,a
Naasih,Male,h
Sanjula,Female,a
Nityapriya,Female,a
Gaurika,Female,a
Dheeran,Male,n
Evyavan,Male,n
Rajhans,Female,s
Dhevaneyan,Male,n
Pannalal,Male,l
Janith,Male,h
Srinivas,Male,s
Markandeya,Female,a
Ratnakar,Male,r
Khalid,Male,d
Uma,Female,a
Tarakeshwar,Male,r
Himadri,Male,i
Sundar,Male,r
Sunaya,Female,a
Manorama,Female,a
Nazima,Female,a
Nagarjun,Male,n
Shrigeeta,Female,a
Ayati,Female,i
Apala,Female,a
Kapila,Female,a
Tamal,Male,l
"Arun, Aroon",Male,n
Unnati,Female,i
Shantala,Female,a
Ashritha,Female,a
Deepamala,Female,a
Yahvi,Female,i
Poojan,Male,n
Ketana,Female,a
Prahlad,Male,d
Dilip,Male,p
Orion,Male,n
Prayag,Male,g
Adhira,Female,a
Ikshu,Male,u
Farzana,Female,a
Gnanamangala,Female,a
Sushrut,Male,t
Ibhanan,Male,n
Oorjit,Male,t
Moksha,Female,a
Ryna,Male,a
Kamadha,Female,a
Shaunak,Male,k
Aranam,Female,m
Zahir,Male,r
Vyomakesh,Male,h
Abhimoda,Male,a
Sohan,Male,n
Nand,Male,d
Rathin,Male,n
Sutej,Male,j
Hemamdar,Male,r
Latangi,Female,i
Umrao,Male,o
Vasuki,Female,i
Thiruvoli,Male,i
Viplab,Male,b
Varindra,Male,a
Chaaya,Female,a
Oindrila,Female,a
Mansukh,Male,h
Harini,Female,i
Lalana,Female,a
Basudha,Male,a
Zeena,Female,a
Ankitha,Female,a
Sarbajit,Male,t
Farhad,Male,d
Purnendu,Male,u
Sugreev,Male,v
Jignesh,Male,h
Sarang,Male,g
Shabalini,Female,i
Vallari,Female,i
Rana,Male,a
Musheer,Male,r
Bhairav,Male,v
Pinga,Female,a
Kasturi,Female,i
Juhi,Female,i
"Falguni, Phalguni",Female,i
Timila,Female,a
Gaganadipika,Female,a
Neeraja,Female,a
Rohit,Male,t
Utkarsha,Female,a
Shivanne,Female,e
Zakir,Male,r
Chandrodaya,Male,a
Sarama,Female,a
Pujita,Female,a
Deepitha,Female,a
Hemavati,Female,i
Daksha,Female,a
Himani,Female,i
Mriganka,Male,a
Ranjana,Female,a
Madur,Male,r
Zerelda,Female,a
Ranjudeep,Female,p
Champakali,Female,i
Gnanamalar,Female,r
Sanobar,Male,r
Guruttam,Male,m
Gaurav,Male,v
Lalima,Female,a
Anandalakshmi,Female,i
Wafiya,Female,a
Bandhula,Female,a
Shaili,Female,i
Yasmeen,Female,n
Omswaroop,Male,p
Kushala,Female,a
Jivika,Female,a
Tamas,Male,s
Udichi,Female,i
Mrinalini,Female,i
Manjari,Female,i
Ajitesh,Male,h
Padmaroopa,Female,a
Rajeshri,Female,i
Rituraj,Male,j
Radhani,Female,i
Chakrapani,Male,i
Suruchi,Female,i
Harshit,Male,t
Hasna,Female,a
Khemchand,Male,d
Ina,Female,a
Eshanya,Female,a
Payal,Female,l
Samit,Female,t
Mahijith,Male,h
Patralika,Male,a
Devakanya,Female,a
Kanika,Female,a
Yoosuf,Male,f
Viraj,Male,j
Jyotirmoy,Male,y
Omkareshwari,Female,i
Sapan,Male,n
Manindra,Male,a
Bandhura,Female,a
Kishorekumar,Male,r
Rupali,Female,i
Aparna,Female,a
Ranjika,Female,a
Karunamay,Male,y
Aalia,Female,a
Riddhiman,Male,n
Nityasree,Female,e
Sulochana,Female,a
Malini,Female,i
Grhitha,Female,a
Shrihari,Male,i
Ulupi,Female,i
Jyestha,Male,a
Maheepati,Male,i
Suvarnaprabha,Female,a
Elavarasi,Female,i
Kalki,Male,i
Yamuna,Female,a
Lekha,Female,a
Kaandhal,Female,l
Maniya,Female,a
Tarunima,Female,a
Parikshit,Male,t
Hoor,Female,r
Neelmadhav,Male,v
Natesh,Male,h
Kadambini,Female,i
Alamgir,Male,r
Raka,Female,a
Shripal,Male,l
Bhanudas,Male,s
Sudhamayi,Female,i
Pran,Male,n
Mritsa,Female,a
Kunal,Male,l
Aadidev,Male,v
Pachaimani,Male,i
Milap,Male,p
Arushi,Female,i
Elumalai,Male,i
Kajjali,Female,i
Vedvalli,Female,i
Brahmadutt,Male,t
Nachni,Female,i
Firdaus,Male,s
Hamsini,Female,i
Titir,Male,r
Suniti,Female,i
Goerge,Male,e
Hetal,Female,l
Utpalakshi,Female,i
Pramila,Female,a
Surajit,Male,t
Lingammal,Female,l
Devahuti,Female,i
Vadiraj,Male,j
Aditri,Female,i
Kairavi,Female,i
Charuprabha,Female,a
Bhagwant,Male,t
Lambodar,Male,r
Pavani,Female,i
Pavak,Male,k
Marisa,Female,a
Mrinali,Female,i
Kailashchandra,Male,a
Kanakabati,Female,i
Sudeep,Male,p
Kanwalkishore,Male,e
Induprabha,Female,a
Sahaj,Male,j
Champamalini,Female,i
Nishith,Male,h
Gnanamani,Female,i
Manadha,Female,a
Mriganayani,Female,i
Balamani,Female,i
Rafat,Male,t
Ekanath,Male,h
Dwijain,Male,n
Aran,Male,n
Purnanada,Male,a
Shattesh,Male,h
Jitendra,Male,a
Kunja,Male,a
Rupashi,Female,i
Kalpita,Female,a
Antini,Female,i
Raksha,Male,a
Vasant,Male,t
Fawiza,Female,a
Kamalapathi,Male,i
Sarthak,Male,k
Aadi,Male,i
Niyati,Female,i
Manishankar,Male,r
Abdul-Haafiz,Male,z
Abhithi,Female,i
Keyur,Male,r
Manasi,Male,i
Arivarasu,Male,u
Smita,Female,a
Prabha,Female,a
Garry,Male,y
Kanchan,Male,n
Sunandini,Female,i
Kushal,Male,l
Ammar,Male,r
Shabari,Female,i
Havish,Male,h
Anjasa,Male,a
Virata,Female,a
Suchandra,Female,a
Sejal,Female,l
Jayad,Male,d
Jeevan,Male,n
Mangala,Female,a
Edhas,Male,s
Kamod,Male,d
Charuvardhana,Male,a
Dheemant,Male,t
Chittaranjan,Male,n
Kartik,Male,k
Punita,Female,a
Prasiddhi,Male,i
Karishma,Female,a
Sumedh,Male,h
Sitara,Female,a
Samgram,Male,m
Grihith,Male,h
Jabbar,Male,r
Darshan,Male,n
Naseen,Female,n
Ruksana,Female,a
Viswajit,Male,t
Devika,Female,a
Shardul,Male,l
